key,value
pay_grad_name,W
valid_from,2024.07.01
link,https://www.dbb.de/fileadmin/user_upload/globale_elemente/pdfs/2024/besoldungstabellen/Land_Brandenburg_01072024.pdf
name_de,Landesbesoldungsordnung W Brandenburg
name_en,State Salary Scale W Brandenburg
prv,
allowances,brandenburg-family-allowance
entgeltregelungen_de,"Werte gültig vom 01.07.2024 bis 30.09.2024 gemäß Tabelle 07/2024."
entgeltregelungen_en,"Values valid from 2024-07-01 to 2024-09-30 according to the 07/2024 table."
