name,value,comment
link,https://www.vbl.de/documents/20142/3b04d6a0-dcb1-8144-afc7-ba3947b088a4,
info,,
calc_fun,vbl_west,
label_de,VBL-West,
label_en,VBL-West,
info_de,,
info_en,,
arbeitnehmeranteil,1.81,,
arbeitgeberanteil,5.49,,
pauschal,92.03,"Pauschalversteuerung der Arbeitgeberumlage nach § 40b EStG i. V. m. § 37 Abs. 2 ATV"
steuer_frei,219,"Steuerfreie Umlage des Arbeitgebers nach § 3 Nr. 56 EStG"
grenzbetrag,100,"Zurechnungsbetrag 1: abzgl. Grenzbetrag"
sozi_freibetrags,13.30,"Zurechnungsbetrag 2: abzgl. Abzüglich des Freibetrags"
